,Country Code,Year,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),GDP per capita growth (annual %),"Central government debt, total (% of GDP)","Population, total","Population, female (% of total population)","Inflation, consumer prices (annual %)",Real interest rate (%),Deposit interest rate (%),Lending interest rate (%),Country Name,Country,Continent
128,MYS,1961,1901856122.7223134,7.59799400028281,235.52966575939772,4.386326188127555,0.0,8074805.0,48.9860745863213,-0.180407721631613,0.0,0.0,0.0,Malaysia,Malaysia,Asia
130,NER,1961,485785230.9789874,4.546393036601714,134.84557546473934,1.4963916870629674,0.0,3602530.0,52.6188817303395,0.0,0.0,0.0,0.0,Niger,Niger,Africa
131,NGA,1961,4467287893.084843,0.19179548957242787,97.42096828380598,-1.8340097439208876,0.0,45855507.0,50.0970734005841,6.27914723477514,0.0,0.0,0.0,Nigeria,Nigeria,Africa
132,NLD,1961,13493833739.99494,0.29554667271661117,1159.3923571607356,-1.0149975725171743,0.0,11638712.0,50.1688750770882,1.30763936682731,0.0,0.0,0.0,Netherlands,Netherlands,Europe
133,NOR,1961,5632460936.545755,6.273335510407293,1560.3249311722964,5.432493154733109,0.0,3609800.0,50.1813714423427,2.15517277670922,0.0,0.0,0.0,Norway,Norway,Europe
134,NPL,1961,531959561.16012067,1.9082659718423969,51.321965344632034,-0.030599110441571042,0.0,10365144.0,49.803639968726,0.0,0.0,0.0,0.0,Nepal,Nepal,Asia
135,NZL,1961,5670064168.2177305,0.0,2343.292213174249,0.0,0.0,2419700.0,49.750556933925,1.79770429009208,0.0,0.0,0.0,New Zealand,New Zealand,Oceania
137,PAK,1961,4118647627.0474596,5.987346419290802,87.5173724745356,3.4949377948214675,0.0,47060915.0,46.1044881936528,1.64041994750609,0.0,0.0,0.0,Pakistan,Pakistan,Asia
138,PAN,1961,599026300.0,10.926594841623015,516.0318633531812,7.692630969826709,0.0,1160832.0,49.1469049784982,0.613810741946706,0.0,0.0,0.0,Panama,Panama,North America
139,PHL,1961,8171194424.944976,5.695470950297548,278.47726708432293,2.613696135786995,0.0,29342411.0,49.5967117357875,1.59563300452722,0.0,0.0,0.0,Philippines,Philippines,Asia
140,PNG,1961,244832039.17312625,6.18111172052933,120.27086837817008,3.5727874557672408,0.0,2035672.0,47.1085715183979,0.0,0.0,0.0,0.0,Papua New Guinea,Papua New Guinea,Oceania
142,PRT,1961,3417516639.375963,5.534903475675023,382.7299469943681,4.688668546946047,0.0,8929316.0,52.1768051060396,1.54899696989872,0.0,0.0,0.0,Portugal,Portugal,Europe
144,RWA,1961,122000016.0,-4.297526047168816,40.04393541242294,-6.825966603074193,0.0,3046654.0,50.4400565341519,0.0,0.0,0.0,0.0,Rwanda,Rwanda,Africa
146,SDN,1961,1223563218.3908045,0.02239133367180557,106.152717590332,-2.513713788245468,0.0,8577490.0,49.682261360841,8.76051146191632,0.0,0.0,0.0,Sudan,Sudan,Africa
147,SEN,1961,1058975256.9702512,2.9934482562697298,314.50830629317943,0.121050209977696,0.0,3367082.0,50.0110778412881,0.0,0.0,0.0,0.0,Senegal,Senegal,Africa
148,SGP,1961,764629788.1236893,8.137529508176684,449.14813682077613,4.580373932249813,0.0,1702400.0,49.3879818937479,0.400000000000066,0.0,0.0,0.0,Singapore,Singapore,Asia
149,SLE,1961,327979248.36601305,1.809043550057595,140.09830925925297,0.08016437483927064,0.0,2341065.0,50.9373298050246,0.0,0.0,0.0,0.0,Sierra Leone,Sierra Leone,Africa
150,SOM,1961,191659914.37603426,-3.2619812023409622,65.06514134209365,-5.722745454488205,0.0,2945662.0,50.2040627879234,0.0,0.0,0.0,0.0,Somalia,Somalia,Africa
153,SUR,1961,107700000.0,4.799999998468834,387.4532771640003,1.1907831434046159,0.0,277969.0,49.8512424047286,1.70940170940174,0.0,0.0,0.0,Suriname,Suriname,South America
154,SWE,1961,17212686614.5726,5.681292809565491,2288.9217011191495,5.184618707993181,0.0,7519998.0,50.0948740165943,2.15797310981964,0.0,0.0,0.0,Sweden,Sweden,Europe
155,SYC,1961,11592023.763648715,-4.88227636132126,270.2796466144866,-7.519198961670739,0.0,42889.0,50.309938466429,0.0,0.0,0.0,0.0,Seychelles,Seychelles,Africa
157,TCD,1961,333975336.1107222,1.3977436707753839,108.1646491532972,-0.5387808675790922,0.0,3087657.0,50.6272555533209,0.0,0.0,0.0,0.0,Chad,Chad,Africa
159,TGO,1961,126396468.67634428,12.169317371654273,75.2903098403993,10.337165335990377,0.0,1678788.0,50.6927616828331,0.0,0.0,0.0,0.0,Togo,Togo,Africa
160,THA,1961,3034037810.9679537,5.362146301687872,110.73145649751255,2.272881701815834,0.0,27399963.0,49.9062024280836,7.38699007717708,0.0,0.0,0.0,Thailand,Thailand,Asia
163,TTO,1961,584961208.6565945,14.037070864503036,676.2338429005703,11.668735992012458,0.0,865028.0,49.855264800677,1.52275769788992,0.0,0.0,0.0,Trinidad and Tobago,Trinidad and Tobago,North America
166,URY,1961,1600000000.0,2.4930379180568423,624.7186325846211,1.207169289988542,0.0,2561153.0,49.9502763013377,22.747263986796,0.0,0.0,0.0,Uruguay,Uruguay,South America
167,USA,1961,563300000000.0,2.2999999999996845,3066.562869166154,0.6181211926547405,0.0,183691000.0,50.4911303638218,1.07072414764724,3.1078848748443324,0.0,4.5,United States,United States,North America
171,ZAF,1961,9225996309.601477,3.8447341417408865,543.0422236747125,0.977923938584297,0.0,16989464.0,48.6404103154755,2.10237396324092,5.200152170147846,0.0,6.83333333333333,South Africa,South Africa,Africa
172,ZMB,1961,696285714.2857143,1.361381991474886,216.27467362780618,-1.787684973100525,0.0,3219451.0,50.5086736838051,0.0,0.0,0.0,0.0,Zambia,Zambia,Africa
173,ZWE,1961,1096646600.0,6.316157267822774,279.3326561302838,3.0762099409484875,0.0,3925952.0,50.5283049818235,0.0,0.0,0.0,0.0,Zimbabwe,Zimbabwe,Africa
175,AUS,1962,19922563187.61011,1.294258047359918,1854.6418904868842,-1.148044394854395,0.0,10742000.0,49.5428979677913,-0.319488817891379,5.579788729769517,0.0,5.5,Australia,Australia,Oceania
176,AUT,1962,7756110210.119664,2.648675112952617,1087.8342434189017,2.021469666776369,0.0,7129864.0,53.3539852267517,4.38179863851178,0.0,0.0,0.0,Austria,Austria,Europe
177,BDI,1962,213500006.0,9.063157933865625,73.94200799474129,6.365246139722842,0.0,2887398.0,51.5691290220468,0.0,0.0,0.0,0.0,Burundi,Burundi,Africa
178,BEL,1962,13264015675.319344,5.2120035092552826,1438.523233068398,4.794034517664542,0.0,9220578.0,51.0146929757325,1.40460703543514,0.0,0.0,0.0,Belgium,Belgium,Europe
179,BEN,1962,236434954.038578,-3.4264098209858673,91.17139231704522,-4.99367661686,0.0,2593302.0,52.1826998938033,0.0,0.0,0.0,0.0,Benin,Benin,Africa
180,BFA,1962,379567099.24942166,6.128798780245063,77.07733383722676,4.584353888556137,0.0,4924497.0,49.3611631807269,1.67590956140175,0.0,0.0,0.0,Burkina Faso,Burkina Faso,Africa
181,BGD,1962,5081413541.666667,5.4530309698715485,95.04780522375964,2.338669315936386,0.0,53461661.0,48.1434630323214,0.0,0.0,0.0,0.0,Bangladesh,Bangladesh,Asia
183,BLZ,1962,31857591.85759186,4.8926521802838465,331.2013126127153,2.241655824706527,0.0,96188.0,50.2879777103173,0.0,0.0,0.0,0.0,Belize,Belize,North America
185,BOL,1962,443916666.6666666,5.578917858979565,114.88110334166636,3.409601073787627,0.0,3864140.0,50.6460946031976,5.87933142225296,0.0,0.0,0.0,Bolivia,Bolivia,South America
186,BWA,1962,35644956.64304291,6.666667813177355,66.44872497901471,4.275542293157031,0.0,536428.0,52.2437307523097,0.0,0.0,0.0,0.0,Botswana,Botswana,Africa
187,CAF,1962,124482773.83305976,-3.713800184096854,71.439099543679,-5.489663792680105,0.0,1742502.0,50.5803149723788,0.0,0.0,0.0,0.0,Central African Republic,Central African Republic,Africa
188,CAN,1962,42227447631.9159,7.425384774437191,2268.585346079075,5.445858236474791,0.0,18614000.0,49.5511923981647,1.06157112526535,4.344786129768063,0.0,5.70833333333333,Canada,Canada,North America
189,CHE,1962,11879982758.561916,0.0,2131.3916515998317,0.0,0.0,5573815.0,51.4465080925267,4.31599287754389,0.0,0.0,0.0,Switzerland,Switzerland,Europe
190,CHL,1962,5631285444.234405,4.02668562348731,663.5877697032807,1.911060869379483,0.0,8486120.0,49.7961023412349,0.0,0.0,0.0,0.0,Chile,Chile,South America
191,CHN,1962,47209186415.35554,-5.579999990202751,70.90915243305577,-6.351504864338409,0.0,665770000.0,48.927293281904,0.0,0.0,0.0,0.0,China,China,Asia
193,CMR,1962,694247864.3788999,3.041559050793012,130.89530104294226,1.0310616056527238,0.0,5303841.0,51.5435888820951,0.0,0.0,0.0,0.0,Cameroon,Cameroon,Africa
195,COL,1962,4955538218.816184,5.41188961342047,296.8938047308879,2.198191741453442,0.0,16691282.0,50.1652778977672,4.6970939506247,0.0,0.0,0.0,Colombia,Colombia,South America
196,CRI,1962,479180824.34850603,5.442391375282369,331.1462141939052,1.7334936217276748,0.0,1447037.0,49.3409636381101,2.67785968742788,0.0,0.0,0.0,Costa Rica,Costa Rica,North America
198,DOM,1962,824100000.0,17.047240933300074,234.0419247726036,13.299344110548091,0.0,3521164.0,49.8377241162297,9.15712799177066,0.0,0.0,0.0,Dominican Republic,Dominican Republic,North America
199,DZA,1962,2001444543.9188507,-19.685041825638777,169.9270133210551,-20.910073610124797,0.0,11778260.0,49.4442472827056,0.0,0.0,0.0,0.0,Algeria,Algeria,Africa
